id,f_name,l_name,occupation,:LABEL,origin
p2,Agustino,,,Person,
p3,Aluise,Chasteglon,,Person,
p4,Ancho,Dobroshevic,,Person,
p5,Andrea,,,Person,
p6,Andrea,Murvich,,Person,
p7,Andrea,Nani,,Person,
p8,Andruscho,di Lauriçe Nemagna,,Person,
p9,Andruscho,Milosevic,,Person,
p10,Angeli,deli Angeli,,Person,
p11,Angeli,,spiçial,Person,
p12,Antich; Antoie; Antoni; Antonio,Çalapia; Çalepia; Çelepia; Galapia,,Person,
p13,Antich,di Giucho; Giuchovich,,Person,
p14,Antich,Tihomirich; Tichomirovich,,Person,
p15,Antoie; Antoni; Antonio,di Bon di Venexia,,Person,Venice
p16,Antoie; Antonio,di Dobrosau; Dobrosav,,Person,
p17,Antoie,,,Person,
p18,Antoie,di Braicho Tintina,,Person,
p19,Antoie,Petrovich,,Person,
p20,Antonio,,,Person,
p21,Antonio,Çaugl; Çavales; Gauagl; Gaual; Gaualas,,Person,Catalonia
p22,Antonio,Çopi,,Person,
p23,Antonio,d_Alegreto,,Person,
p24,Antonio; Antoine,di Bon,,Person,Venice
p25,Antonio,di Butcho,,Person,
p26,Antonio,,fator,Person,
p27,Andrea,di Babalio,,Person,
p28,Volço,di Babalio,,Person,
p29,Giacomo,Badoer,,Person,
p30,Andrea,Barbarigo,,Person,
p31,Batista,,frar di miser Vani di Fermo,Person,
p32,Benedeto,,,Person,
p33,Benedeto,,changelir,Person,
p34,Benesa; Benuse,di Françescho,,Person,
p35,Bernardo,Gaschigl; di Gaschigl; Gaschigli,,Person,Catalonia
p36,Biasio,d_Alegreto; Alegretto; di Radosau,,Person,Venice
p37,Bilut,,,Person,
p38,Bogdan,,,Person,
p39,Bogdan,Iuga,,Person,
p40,Bogdan,Miçima; Maçima,,Person,
p41,Bogdan,Prochas,,Person,
p42,Bogisa,Petachovic,,Person,
p43,Bogmio; Bogmil,,,Person,
p44,Bogoie,,,Person,
p45,Bogoie,Hobradovich; Hobradoçich,,Person,
p46,Bogosau; Bogosov,,,Person,
p47,Bogosau,Briestich; Bristich,,Person,
p48,Bogosau,Ponosevich,,Person,
p49,Bogosau,Striesevic,,Person,
p50,Bogulino,,,Person,
p51,Bon,Gouanin,,Person,
p52,Gugno,Bona di,,Person,
p53,Luca; Luchsa,Bona di; di Gugno,,Person,
p54,Tripcho,Bonda di,,Person,
p55,Bortolomeo; Bortolome,Bonda di; Çopi; Gopi,,Person,Pesaro
p56,Bortolomeo,,,Person,
p57,Bortolomeo,Ardovini,,Person,
p58,Boscho,,,Person,
p59,Bosicho; Bositch,Paun,,Person,
p60,Bosicho,,,Person,
p61,Bosicho,Hostoich,,Person,
p62,Bosin,,,Person,
p63,Boso,di Bartolomeo; Bartolome,fratel di Nicholao Bartolome di Prato,Person,
p64,Braicho,,,Person,
p65,Braicho,Luboievich; Lubievich,,Person,
p66,Braicho,Saursiglava,,Person,
p67,Brancho,,,Person,
p68,Bratosau,Priedoievich,,Person,
p69,Ptipcho,di Bucha,,Person,
p70,Anisola; Anisula,Chaboga,fiola di Lucha di Chaboga,Person,
p71,Lucha,Chaboga,,Person,
p72,Mirusa,Chaboga,,Person,
p73,Nichola; Nicholo,Chaboga,,Person,
p75,Nichola di M.,Chaboga,,Person,
p76,Nichola di Marin,Chaboga,,Person,
p77,Chaloagn; Chaloagen; Chaloagni; Chaloian,,,Person,
p78,Chasteglon; Chasteglan,,,Person,
p79,Chatarina,,,Person,
p80,Chatarini; Chatarino,,,Person,
p81,Cholin,di Vetran,,Person,
p82,Chosmo; Chosmi,di Medici; Medeci,,Person,
p83,Michil,Chrose; Chrosi,,Person,
p84,Cristofano; Christofano,d_Alberto,,Person,Venezia
p85,Çiuitcho; Çiutcho,di Vlachan,,Person,
p86,Gugno,Çrieua; Çrieua; Çiriua; Çriua,,Person,
p87,Martolo,Çrieua; Çrieua; Çiriua; Çriua,,Person,
p88,Michil,Çrieua; Çrieua; Çiriua; Çriua,,Person,
p89,Nichola,Çrieua; Çrieua; Çiriua; Çriua,,Person,
p90,Dabisiu,,,Person,
p91,Dabisiu,,fante di Bogdan Grando,Person,
p92,Damian,,,Person,
p93,Dancho,,,Person,
p94,Dancho,Dobrosevich; Dobroseu; Dobrosev,,Person,
p95,Chatarina di M.,Dersa; Dersi,,Person,
p96,Chatarina di Marino,Dersa; Dersi,,Person,
p97,Chatarina Maroie,Dersa; Dersi,,Person,
p98,Chatarina,Dersa; Dersi,,Person,
p99,Marino; Maroie,Dersa; Dersi,,Person,
p100,Dimitri,,,Person,
p101,Dobrasin,,,Person,
p102,Dobrasin,,chonpagno di Radich,Person,
p103,Dobrasin,,chonpagno di Radoicho,Person,
p104,Dobrilo,,,Person,
p105,Dobrilo,Antich,,Person,
p106,Dobros,,,Person,
p107,Dobros,,padre di Micho,Person,
p108,Dobrosau,,horese,Person,
p109,Dobrun,,,Person,
p110,Dobrun,,,Person,
p111,Dobruscho,,,Person,
p112,Dobruscho,di Dabisiu,,Person,
p113,Dobruscho,Stagnevich; Stanevich,,Person,
p114,Doimo,di Chochuli,,Person,
p115,Donato,di Filipo,,Person,
p116,Elia,,"maistro, medego",Person,
p117,Federigo,,,Person,
p118,Filipo,,,Person,
p119,Françescho,,,Person,
p120,Françescho,Ardovini,,Person,Pesaro
p121,Françescho,Chasteglon,,Person,Catalonia
p122,Françescho,Dato; Datto,,Person,Rimani
p123,Françescho,di Vagnino; Dauganio,,Person,Urbino
p124,Françescho,Gauil; Gavnil,,Person,Catalonia
p125,Françescho,Ponçi; Ponco,,Person,Catalonia
p126,Françescho,,fostagnier; fostagar,Person,
p127,Francho,,,Person,
p128,Francho,di Vlachota,,Person,
p129,Francho,Hostoich,,Person,
p130,Gabre,,,Person,
p131,Gabriel,,,Person,
p132,Gabriel,di ser Nicholo;  di ser Nicholao,,Person,Prato
p133,Gabriel,di Tomaso,don,Person,
p134,Gabro,,,Person,
p135,Gagn,,,Person,
p136,Michil,di Gamagno; di Zamagno,,Person,
p137,Stefano,di Gamagno; di Zamagno,,Person,
p138,Stefano di M.,di Gamagno; di Zamagno,,Person,
p139,Gan; Giuani,Ursini; Horsin,,Person,
p140,Gani,,,Person,
p141,Ganin; Gani,Riço di Taruschon; Taruschon; Taraskon,,Person,
p142,Giuan,di Gugno,,Person,
p143,Giuan,Gabro,,Person,
p144,Giucho,,,Person,
p145,Giucho,Bigorovich,,Person,
p146,Giucho,Bogisich,,Person,
p147,Giucho,Bogulinovich,,Person,
p148,Giucho,Budegla,,Person,
p149,Giucho; Goan,"di Besanti, .Besante",,Person,
p150,Giucho,,,Person,Kotor
p151,Giucho,di Marcho,,Person,
p152,Giucho; Goan,di Radich; di Radi,,Person,
p153,Giucho; Goan,di Ruga,,Person,
p154,Giucho; Goan,Grui,,Person,
p155,Giucho,Gurchovich,,Person,
p156,Giucho,Milinovich,,Person,
p157,Giucho,"Miserchovich, Miserchouich",,Person,
p158,Giucho,Petchovich,,Person,
p159,Giucho,Petrovich,,Person,
p160,Giucho,Radiçevich; Radichevich; Radichievich,,Person,
p161,Giucho,Radosalich,,Person,
p162,Giucho,Scharçich,,Person,
p163,Giucho,Vlachanovich,,Person,
p164,Giuegla,,horese,Person,
p165,"Givcho; Giucho,  Givicho",Vlachoievich,,Person,
p166,Goan; Goane,Bonagonta,,Person,Pesaro
p168,Goan,,,Person,
p169,Goan,Angelieti; Angelier,spiçial,Person,
p170,Goan,Batista,,Person,
p171,Goan,Bruglo; Brugle; Brugles; Brugli; Bruogl,,Person,Catalonia
p172,Goan,"Butcho,  Bucho",,Person,
p173,Goan,Çopi,,Person,
p174,Goan,d_Alberto,,Person,
p175,Goan; Ivan,di Chotrugl,,Person,
p176,Goan,di Gani; di Ganin; di Ganini; di Ganni; Riço; Richo,spiçial,Person,
p177,Goan,di Lucha,,Person,
p178,Goan,di Marcho,,Person,
p179,Goan,di Milin,,Person,
p180,Goan,di Mircho,,Person,
p181,Goan,Ripogl; Ripogli; Ripoglo,,Person,Catalonia
p182,Goan,,"fator di ser Goan di Ganin, spiçial",Person,
p183,Goane,di Paschoie,,Person,
p184,Goane,,,Person,
p185,Goane,Horsini,,Person,
p186,Aluise; Aliuse,Goçe,,Person,
p187,Antonio,Goçe,,Person,
p188,Antonio,Goçe; di Chilimento,,Person,
p189,Biasio,Goçe,,Person,
p190,Gorçi,Goçe,,Person,
p191,Gorgi,Goçe,,Person,
p192,Federigo,Goçe; di Rafael,,Person,
p193,Federigo; Federio,Goçe,,Person,
p194,Lorenço,Goçe; di Martolo,,Person,
p195,Marino,Goçe; di S.,,Person,
p196,Tornado,Goçe; di Martolo,,Person,
p198,Goço,,,Person,
p199,Goicho,,,Person,
p200,Goncho,,,Person,
p201,Goncho,di Giucho; Çeglubinich; Çelubinovich; Çelubinich,,Person,
p202,Benedeto,di Gondola,,Person,
p203,Nichola; Nicholo,di Gondola,,Person,
p204,Nicholo,di Gondola; di Polo,,Person,
p205,Gore,,Miser,Person,
p206,Biasio; Biasi,di Gorgi; di Gorçi; di Çogi,,Person,
p207,Damian,di Gorgi; di Gorçi; di Çogi,,Person,
p208,Francho,di Gorgi; di Gorçi; di Çogi,,Person,
p209,Goan,di Gorgi; di Gorçi; di Çogi,,Person,
p210,Goan,di Gorgi; di Gorçi; di Çogi; di M,,Person,
p211,Goan,di Gorgi; di Gorçi; di Çogi; di Marin,,Person,
p212,Goan,di Gorgi; di Gorçi; di Çogi; di Martolo,,Person,
p213,Iachomo,di Gorgi; di Gorçi; di Çogi,,Person,
p214,Luchsa,di Gorgi; di Gorçi; di Çogi,,Person,
p215,Marino,di Gorgi; di Gorçi; di Çogi,,Person,
p216,Marino,di Gorgi; di Gorçi; di Çogi; di Gugno,,Person,
p217,Matio,di Gorgi; di Gorçi; di Çogi,,Person,
p218,Sigismundo,di Gorgi; di Gorçi; di Çogi,,Person,
p219,Simon; Simone,di Gorgi; di Gorçi; di Çogi,,Person,
p220,Gorgi,,,Person,Florence
p221,Gouan; Goan,Montornese,,Person,Catalonia
p222,Gorgi,di Gradi,,Person,
p223,Gugno,di Gradi,,Person,
p224,Grasaç,,,Person,
p225,Gregoie; Grigoie,Miochovich; Mochovich,,Person,
p226,Grubaç; Grubaz,,,Person,
p227,Grupcho,,,Person,
p228,Gugno,,,Person,
p229,Guliiano; Guliano,,,Person,
p230,Guracho,Çeglubinich,,Person,
p231,Gurag,,,Person,
p232,Gurag,Bogulinovich,,Person,
p233,Gurag,,fante,Person,
p234,Hostoia,,,Person,
p235,Hostoia,di Michil,,Person,
p236,Hostoia,Saraginich; Saragnich,,Person,
p237,Hostoia,di Nadal,,Person,
p238,Iachomo,,,Person,
p239,Iachomo,di Bicia,,Person,
p240,Iachomo,di Chotrugl; Chotrugli; Chotruge,,Person,
p241,Iachomo,Priuli,,Person,
p242,Iachomo,,maistro,Person,
p243,Iachomo,,,Person,
p244,Iachsa,,,Person,
